No,Y,X1,X2,X3,X4,X5
1,5.39,6.34,6.0,6.76,6.5,6.13
2,3.33,5.27,5.39,6.2,5.7,4.98
3,3.06,5.45,6.23,6.02,5.24,6.38
4,2.19,5.63,5.37,5.11,5.46,5.35
5,3.68,6.25,6.16,5.53,5.32,5.3
6,4.35,4.7,6.0,6.2,5.66,5.55
7,2.75,6.74,6.11,5.78,6.55,5.73
8,3.62,5.01,5.68,6.07,5.21,6.07
9,4.62,6.77,5.65,6.76,6.5,5.92
10,4.34,5.44,6.39,6.83,6.61,5.86
11,3.41,6.7,5.29,4.77,6.42,5.52
12,2.49,6.2,5.93,5.41,5.73,5.75
13,2.7,5.66,5.59,6.77,5.64,6.18
14,3.96,6.09,6.71,5.61,5.75,5.44
15,2.85,5.91,6.47,5.26,5.18,6.66
16,2.81,5.01,4.64,5.14,5.12,3.58
17,4.63,6.73,6.82,6.73,5.43,5.29
18,3.28,5.77,6.45,5.73,5.49,6.35
19,3.81,5.57,5.07,5.02,6.07,6.37
20,3.18,6.39,6.4,6.43,5.99,6.8
21,3.72,5.17,5.09,5.96,5.63,5.44
22,2.99,4.52,5.61,5.95,4.69,5.09
23,2.63,4.68,5.4,5.08,5.56,5.05
24,3.79,6.05,5.74,6.05,6.99,5.57
25,2.43,5.58,4.56,6.29,4.89,5.22
26,2.38,5.2,5.3,6.27,5.3,5.12
27,3.74,5.93,6.28,5.89,6.8,6.3
28,3.51,5.01,4.17,4.91,4.65,4.65
29,4.4,6.28,5.64,5.51,5.79,5.64
30,4.13,4.69,4.47,5.23,4.49,4.51
31,3.49,5.5,6.8,6.27,6.39,6.2
32,3.5,5.77,5.97,5.42,6.8,6.21
33,2.51,5.66,5.85,5.94,5.64,5.92
34,2.36,5.44,5.79,5.15,4.98,5.04
35,2.99,5.36,5.83,6.2,5.6,5.39
36,3.25,5.14,5.56,4.2,5.48,4.43
37,4.26,5.43,5.57,5.6,5.44,5.33
38,2.72,5.34,5.83,6.28,5.1,5.97
39,2.84,5.57,5.68,5.72,5.45,5.98
40,4.38,5.22,4.78,6.0,5.28,4.95
41,6.02,5.5,6.98,6.0,5.91,5.51
42,3.37,5.06,4.68,5.3,4.96,5.1
43,4.01,6.09,6.09,5.99,5.6,6.14
44,3.11,6.2,5.16,6.42,5.59,6.02
45,2.67,4.62,6.63,6.46,5.62,6.55
46,3.94,6.39,5.45,6.39,5.83,5.36
47,3.8,5.08,4.61,4.69,5.02,5.38
48,3.49,5.73,6.2,5.91,5.27,4.89
49,3.26,5.79,6.31,5.83,5.28,6.3
50,4.82,5.88,5.44,5.87,5.14,5.56
51,3.37,4.09,5.11,4.77,6.28,5.6
52,3.87,5.35,5.68,5.73,4.95,6.04
53,3.85,5.41,6.78,5.33,5.33,6.06
54,3.97,6.54,5.6,6.43,5.23,6.64
55,2.83,5.06,5.25,5.06,6.95,6.95
56,4.13,5.0,5.71,5.34,5.45,5.45
57,4.24,6.04,6.44,6.42,6.56,5.7
58,3.05,4.7,5.38,5.16,5.28,5.6
59,2.93,6.63,5.62,5.85,5.83,5.82
60,2.01,5.56,5.33,5.76,4.36,5.31
61,3.43,4.79,4.56,5.57,5.37,4.44
62,2.77,6.55,6.01,4.81,6.39,5.69
63,3.98,6.54,5.39,5.32,5.51,5.68
64,2.23,5.46,5.39,5.43,5.41,4.45
65,4.44,6.46,6.58,6.93,6.21,6.21
66,4.11,4.89,5.32,5.03,4.52,6.08
67,4.3,6.04,6.25,5.58,6.42,6.51
68,3.97,5.62,6.72,6.28,6.16,6.12
69,4.43,6.26,5.8,6.11,6.51,5.52
70,3.74,6.92,6.73,5.02,6.09,5.25
71,3.73,6.14,5.91,5.95,6.42,6.59
72,3.3,6.04,6.23,6.31,4.68,5.43
73,3.5,5.47,6.74,5.01,5.83,6.17
74,3.76,4.78,4.3,4.51,5.33,5.37
75,3.8,5.75,5.93,5.04,5.91,5.56
76,4.85,5.54,6.59,6.08,6.77,6.73
77,3.61,6.24,6.98,6.06,5.69,5.85
78,3.57,5.28,6.03,5.53,5.28,5.9
79,3.94,6.27,6.77,5.42,6.61,5.72
80,2.41,5.63,5.22,5.79,5.26,5.77
81,2.92,4.64,3.78,5.21,4.77,5.45
82,3.43,5.63,6.15,6.41,6.45,6.73
83,2.09,5.69,5.76,4.96,5.9,6.2
84,6.14,5.77,6.22,6.05,5.91,6.86
85,3.98,6.02,5.89,6.76,6.97,6.8
86,3.37,6.13,5.22,6.25,6.4,5.01
87,4.3,6.93,6.08,5.7,5.76,6.53
88,2.91,6.06,5.63,5.51,5.16,6.31
89,3.51,6.02,5.92,6.95,5.62,5.26
90,2.89,5.42,6.28,5.6,6.03,6.65
91,4.17,6.55,5.15,5.93,6.52,4.81
92,3.86,6.51,5.03,5.93,5.13,6.27
93,2.31,5.34,5.39,6.14,5.34,5.05
94,3.47,6.47,5.7,5.99,5.32,6.28
95,4.08,6.76,6.2,6.12,6.38,6.37
96,2.58,5.46,5.95,6.43,5.69,5.35
97,2.91,5.44,5.93,4.57,6.15,5.67
98,5.36,4.82,5.5,5.99,5.84,6.21
99,3.19,4.75,6.6,5.62,5.04,5.31
100,2.85,6.01,5.83,5.99,5.36,5.74
